strDrink,strCategory,strDrinkThumb,ingredients,measurments_ingredients,strInstructions,strGlass,strAlcoholic
Gin Smash,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/hp41fi1504883656.jpg,"Gin,Carbonated water,Sugar,Mint,Orange,Cherry,,,,,,,,,","2 oz Gin,1 oz Carbonated water,1 cube Sugar,4 Mint,1 slice Orange,1 Cherry, , , , , , ","Muddle sugar with carbonated water and mint sprigs in an old-fashioned glass. Add gin and 1 ice cube. Stir, add the orange slice and the cherry, and serve.",Old-fashioned glass,Alcoholic
Gin Sour,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/mt7l7m1504883523.jpg,"Gin,Lemon,Sugar,Orange,Maraschino cherry,,,,,,,,,,","2 oz Gin,1 oz Lemon juice,1/2 tsp superfine Sugar,1 Orange,1 Maraschino cherry, , , , , , , ","In a shaker half-filled with ice cubes, combine the gin, lemon juice, and sugar. Shake well. Strain into a sour glass and garnish with the orange slice and the cherry.",Whiskey sour glass,Alcoholic
Gin Squirt,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/xrbhz61504883702.jpg,"Gin,Grenadine,Powdered sugar,Pineapple,Strawberries,Carbonated water,,,,,,,,,","1 1/2 oz Gin,1 tsp Grenadine,1 tblsp Powdered sugar,3 chunks Pineapple,2 Strawberries,
 Carbonated water,
 ,
 ,
 ,
 ,
 , ","Stir gin, grenadine, and powdered sugar with ice and strain into a highball glass over ice cubes. Fill with carbonated water and stir. Decorate with the pineapple chunks and the strawberries and serve.",Highball glass,Alcoholic
Gin Swizzle,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/sybce31504884026.jpg,"Lime,Sugar,Gin,Bitters,Club soda,,,,,,,,,,","1 1/2 oz Lime juice,1 tsp superfine Sugar,2 oz Gin,1 dash Bitters,3 oz Club soda, , , , , , , ","In a shaker half-filled with ice cubes, combine the lime juice, sugar, gin, and bitters. Shake well. Almost fill a colling glass with ice cubes. Stir until the glass is frosted. Strain the mixture in the shaker into the glass and add the club soda.",Highball glass,Alcoholic
Gin Toddy,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/l9gi5h1504820724.jpg,"Gin,Water,Powdered sugar,Lemon,,,,,,,,,,,","2 oz Gin,2 tsp Water,1/2 tsp Powdered sugar,1 twist of Lemon peel, , , , , , , , ","Mix powdered sugar and water in an old-fashioned glass. Add gin and one ice cube. Stir, add the twist of lemon peel, and serve.",Old-fashioned glass,Alcoholic
Girl From Ipanema,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/xypspq1469090633.jpg,"Cachaca,Lemon,Agave Syrup,Champagne,,,,,,,,,,,","25 ml Cachaca,15 ml Lemon Juice,10 ml Agave Syrup,top up with Champagne, , , , , , , , ","Add the cachaca, lemon juice and syrup to your boston glass. Add ice and shake until ice cold. Pour into a chilled flute and top-up with Champagne",Wine Glass,Alcoholic
Gluehwein,Punch / Party Drink,http://www.thecocktaildb.com/images/media/drink/vuxwvt1468875418.jpg,"Red wine,Water,Sugar,Cinnamon,Cloves,Lemon,,,,,,,,,","1 L Red wine,125 ml Water,60 gr Sugar,1 Cinnamon,3 Cloves,1 tblsp Lemon peel, , , , , , ","Boil sugar and spices in water, leave in the water for 30 minutes. Strain the spiced water and mix with the wine. Heat slowly until short of boiling temperature. (To remove alcohol, let it boil for a while.) You may add lemon or orange juice to taste. Serve in irish coffee cup.",Irish coffee cup,Optional alcohol
Godchild,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/m5nhtr1504820829.jpg,"Vodka,Amaretto,Heavy cream,,,,,,,,,,,,","1 oz Vodka,1 oz Amaretto,1 oz Heavy cream, , , , , , , , , ","Shake all ingredients well with cracked ice, strain into a champagne flute, and serve.",Champagne flute,Alcoholic
Godfather,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/r74uz51504368928.jpg,"Scotch,Amaretto,,,,,,,,,,,,,","1 1/2 oz Scotch,3/4 oz Amaretto, , , , , , , , , , ",Pour all ingredients directly into old fashioned glass filled with ice cubes. Stir gently.,Old-fashioned glass,Alcoholic
Godmother,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/4889up1504368984.jpg,"Vodka,Amaretto,,,,,,,,,,,,,","1 1/2 oz Vodka,3/4 oz Amaretto, , , , , , , , , , ",Pour vodka and amaretto into an old-fashioned glass over ice and serve.,Old-fashioned glass,Alcoholic
Golden dream,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/qrot6j1504369425.jpg,"Galliano,Triple Sec,orange,Cream,,,,,,,,,,,","2 parts Galliano,2 parts Triple Sec,2 parts orange juice,1 part Cream, , , , , , , , ",Shake with cracked ice. Strain into glass and serve.,Cocktail glass,Alcoholic
Grand Blue,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/vsrsqu1472761749.jpg,"Malibu rum,Peach schnapps,Blue Curacao,Sweet and sour,,,,,,,,,,,","1 1/2 cl Malibu rum,1 1/2 cl Peach schnapps,1 1/2 cl Blue Curacao,3 cl Sweet and sour, , , , , , , , ",Serve in an old fashioned glass.,Old-fashioned glass,Alcoholic
Grape lemon pineapple Smoothie,Other/Unknown,http://www.thecocktaildb.com/images/media/drink/54z5h71487603583.jpg,"Grapes,Lemon,Pineapple,,,,,,,,,,,,","1 cup Grapes,43922 Lemon,43862 Pineapple, , , , , , , , , ",Throw everything into a blender and liquify.,Highball glass,Non alcoholic
Grass Skirt,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/qyvprp1473891585.jpg,"Gin,Triple sec,Pineapple,Grenadine","1 1/2 oz Gin,1 oz Triple sec,1 oz Pineapple juice,1/2 tsp Grenadine,1 Pineapple, , , , , , , ","In a shaker half-filled with ice cubes, combine the gin, triple sec, pineapple juice, and grenadine. Shake well. Pour into an old-fashioned glass and garnish with the pineapple slice.",Old-fashioned glass,Alcoholic
Grasshopper,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/aqm9el1504369613.jpg,"Green Creme de Menthe,Creme de Cacao,Light cream,,,,,,,,,,,,","3/4 oz Green Creme de Menthe,3/4 oz white Creme de Cacao,3/4 oz Light cream, , , , , , , , , ",Pour ingredients into a cocktail shaker with ice. Shake briskly and then strain into a chilled cocktail glass.,Cocktail glass,Alcoholic
Green Goblin,Beer,http://www.thecocktaildb.com/images/media/drink/qxprxr1454511520.jpg,"Cider,Lager,Blue Curacao,,,,,,,,,,,,","1/2 pint hard Cider,1/2 pint Lager,1 shot Blue Curacao, , , , , , , , , ","Cider First, Lager then Curacao",Pint glass,Alcoholic
Grim Reaper,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/kztu161504883192.jpg,"Kahlua,151 proof rum,Grenadine,,,,,,,,,,,,","1 oz Kahlua,1 oz Bacardi 151 proof rum,1 dash Grenadine, , , , , , , , , ",Mix Kahlua and 151 in glass. Quickly add ice and pour grenadine over ice to give ice red tint.,Old-fashioned glass,Alcoholic
Grizzly Bear,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/k6v97f1487602550.jpg,"Amaretto,Jägermeister,Kahlua,Milk,,,,,,,,,,,","1 part Amaretto,1 part Jägermeister,1 part Kahlua,2 1/2 parts Milk, , , , , , , , ","Served over ice. Sounds nasty, but tastes great.",Collins Glass,Alcoholic
H.D.,Coffee / Tea,http://www.thecocktaildb.com/images/media/drink/upusyu1472667977.jpg,"Bailey's irish cream,Coffee,whiskey","4 cl whiskey,8 cl Bailey's irish cream,
 Coffee,
 ,
 ,
 ,
 ,
 , , , , ",Mix the whiskey and Bailey's Cream in a beer-glass (at least 50 cl). Fill the rest of the glass with coffee.,Beer mug,Alcoholic
Happy Skipper,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/42w2g41487602448.jpg,"Spiced rum,Ginger ale,Lime,Ice,,,,,,,,,,,","1 1/2 cl Spiced rum,
 Ginger ale,
 Lime,
 Ice,
 ,
 ,
 ,
 , , , , ","Pour Captain Morgan's Spiced Rum over ice, fill glass to top with Ginger Ale. Garnish with lime. Tastes like a cream soda. Named for the Gilligan's Island reference (""The Captain"" *in* ""Ginger"" is a Happy Skipper!)",Highball glass,Alcoholic
Harvey Wallbanger,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/vg4bva1504369725.jpg,"Vodka,Galliano,Orange,,,,,,,,,,,,","1 oz Vodka,1/2 oz Galliano,4 oz Orange juice, , , , , , , , , ","Stir the vodka and orange juice with ice in the glass, then float the Galliano on top. Garnish and serve.",Collins glass,Alcoholic
Havana Cocktail,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/59splc1504882899.jpg,"Light rum,Pineapple,Lemon,,,,,,,,,,,,","1 oz Light rum,1 oz Pineapple juice,1 tsp Lemon juice, , , , , , , , , ","In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass.",Cocktail glass,Alcoholic
Hawaiian Cocktail,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/ujoh9x1504882987.jpg,"Gin,Triple sec,Pineapple,,,,,,,,,,,,","2 oz Gin,1/2 oz Triple sec,1 tblsp Pineapple juice, , , , , , , , , ","Shake all ingredients with ice, strain into a cocktail glass, and serve.",Cocktail glass,Alcoholic
Hemingway Special,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/jfcvps1504369888.jpg,"Rum,Grapefruit,Maraschino Liqueur,Lime,,,,,,,,,,,","12 parts Rum,8 parts Grapefruit Juice,3 parts Maraschino Liqueur,3 parts Lime Juice, , , , , , , , ",Pour all ingredients into a shaker with ice. Shake.,Cocktail glass,Alcoholic
Herbal flame,Coffee / Tea,http://www.thecocktaildb.com/images/media/drink/rrstxv1441246184.jpg,"Hot Damn,Tea,,,,,,,,,,,,,","5 shots Hot Damn,very sweet Tea, , , , , , , , , , ","Pour Hot Damn 100 in bottom of a jar or regular glass. Fill the rest of the glass with sweet tea. Stir with spoon, straw, or better yet a cinnamon stick and leave it in.",Mason jar,Alcoholic
Highland Fling Cocktail,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/0bkwca1492975553.jpg,"Scotch,Sweet Vermouth,Orange bitters,Olive,,,,,,,,,,,","1 1/2 oz Scotch,3/4 oz Sweet Vermouth,2 dashes Orange bitters,1 Olive, , , , , , , , ",Stir all ingredients (except olive) with ice and strain into a cocktail glass. Add the olive and serve.,Cocktail glass,Alcoholic
Holloween Punch,Punch / Party Drink,http://www.thecocktaildb.com/images/media/drink/lfeoe41504888925.jpg,"Grape,Carbonated soft drink,Sherbet,Sherbet,,,,,,,,,,,","
 Grape juice,, orange
 Carbonated soft drink, Sherbet, Sherbet, , , , , , , , ","Take a bunch of grape juice and a bunch of fizzy stuff (club soda, ginger ale, lemonlime, whatever). Mix them in a punch bowl. Take orange sherbet and lime sherbet. Scoop out scoops and float them in the punch, let them melt a little so that a nasty film spreads all over the top of the punch but there are still ""bubbles"" in it in the form of sherbet scoops. Looks horrible, tastes just fine.",Punch bowl,Non alcoholic
Homemade Kahlua,Homemade Liqueur,http://www.thecocktaildb.com/images/media/drink/uwtsst1441254025.jpg,"Sugar,Corn syrup,Coffee,Vanilla extract,Water,Vodka,,,,,,,,,","2 1/2 cups Sugar,1 cup Corn syrup,1 1/2 oz instant Coffee,2 oz Vanilla extract,3 cups boiling Water,1 fifth Vodka, , , , , , ","Dissolve sugar in 2 cups of boiling water and add corn syrup. Dissolve the instant coffee in the remaining water. Pour syrup and coffee in a gallon jug. Let it cool. Add vodka and vanilla when cold. For the best result, let the mixture ""mature"" for 4-5 weeks.",Collins Glass,Alcoholic
Horse's Neck,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/006k4e1504370092.jpg,"Lemon,Brandy,Ginger ale,Bitters,,,,,,,,,,,","1 long strip Lemon peel,2 oz Brandy,5 oz Ginger ale,2 dashes Bitters, , , , , , , , ","Pour brandy and ginger ale directly into highball glass with ice cubes. Stir gently. Garnish with lemon zest. If desired, add dashes of Angostura Bitter.",Highball glass,Alcoholic
Hot Chocolate to Die for,Cocoa,http://www.thecocktaildb.com/images/media/drink/0lrmjp1487603166.jpg,"Chocolate,Butter,Vanilla extract,Half-and-half,Marshmallows,,,,,,,,,,","12 oz fine Chocolate,1 tsp Butter,1/2 tsp Vanilla extract,1 cup Half-and-half,mini Marshmallows, , , , , , , ","Melt the chocolate, butter and vanilla in a double boiler. When just smooth stir in the cream.",Coffee mug,Non alcoholic
Hot Creamy Bush,Coffee / Tea,http://www.thecocktaildb.com/images/media/drink/spvrtp1472668037.jpg,"Irish whiskey,Bailey's irish cream,Coffee,,,,,,,,,,,,","1 shot Irish whiskey,3/4 shot Bailey's irish cream,6 oz hot Coffee, , , , , , , , , ",Combine all ingredients in glass,Irish coffee cup,Alcoholic
Ice Pick #1,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/ypsrqp1469091726.jpg,"Vodka,Iced tea,Lemon,,,,,,,,,,,,","1 1/2 oz Vodka,6 oz Iced tea, to taste
 Lemon juice,
 ,
 ,
 ,
 ,
 , , , , ",Put Vodka in glass fill with iced tea. Stir in lemon to taste.,Collins Glass,Alcoholic
Iced Coffee,Coffee / Tea,http://www.thecocktaildb.com/images/media/drink/ytprxy1454513855.jpg,"Coffee,Sugar,Water,Milk,,,,,,,,,,,","1/4 cup instant Coffee,1/4 cup Sugar,1/4 cup hot Water,4 cups cold Milk, , , , , , , , ",Mix together until coffee and sugar is dissolved. Add milk. Shake well. Using a blender or milk shake maker produces a very foamy drink. Serve in coffee mug.,Coffee mug,Non alcoholic
Iced Coffee Fillip,Coffee / Tea,http://www.thecocktaildb.com/images/media/drink/sxtxrp1454514223.jpg,"Kahlua,Coffee,,,,,,,,,,,,,","2 tsp Kahlua,Strong cold Coffee, , , , , , , , , , ",Mix together in a coffee mug and chill before serving.,Coffee mug,Alcoholic
Imperial Cocktail,Cocktail,http://www.thecocktaildb.com/images/media/drink/bcsj2e1487603625.jpg,"Lime,Gin,Aperol,,,,,,,,,,,,","4 cl Lime juice,2 cl Gin,4 cl Aperol, , , , , , , , , ",Shake with ice and strain into cocktail glass.,Cocktail glass,Alcoholic
Imperial Fizz,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/zj1usl1504884548.jpg,"Light rum,Blended whiskey,Lemon,Powdered sugar,Carbonated water,,,,,,,,,,","1/2 oz Light rum,1 1/2 oz Blended whiskey,Juice of 1/2 Lemon,1 tsp Powdered sugar,
 Carbonated water,
 ,
 ,
 ,
 ,
 , , ","Shake all ingredients (except carbonated water) with ice and strain into a highball glass over two ice cubes. Fill with carbonated water, stir, and serve.",Highball glass,Alcoholic
Ipamena,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/yswuwp1469090992.jpg,"Lime,Brown sugar,Passion fruit,Ginger ale,Ice,,,,,,,,,,","½ Lime,2 tsp Brown sugar,4 cl Passion fruit juice,top up with Ginger ale,fill Ice, , , , , , , ","Cut half a lime into pieces, place in a shaker, add the sugar and crush. Measure the passion fruit juice, add it to the shaker and fill up with ice cubes. Close the shaker and shake vigorously. Pour the liquid into a glass, top up with ginger ale, stir with a teaspoon and then garnish the rim of the glass with a slice of lime",Wine Glass,Non Alcoholic
Irish Coffee,Coffee / Tea,http://www.thecocktaildb.com/images/media/drink/sywsqw1439906999.jpg,"Irish whiskey,Coffee,Sugar,Whipped cream,,,,,,,,,,,","1 1/2 oz Irish whiskey,8 oz Coffee,1 tsp Sugar,1 tblsp Whipped cream, , , , , , , , ","Heat the coffee, whiskey and sugar; do not boil. Pour into glass and top with cream; serve hot.",Irish coffee cup,Alcoholic
Irish Cream,Homemade Liqueur,http://www.thecocktaildb.com/images/media/drink/90etyl1504884699.jpg,"Scotch,Half-and-half,Condensed milk,Coconut syrup,Chocolate syrup,,,,,,,,,,","1 cup Scotch,1 1/4 cup Half-and-half,1 can sweetened Condensed milk,3 drops Coconut syrup,1 tblsp Chocolate syrup, , , , , , , ",Mix scotch and milk. Add half-and-half. Add rest.,Irish coffee cup,Alcoholic
Irish Curdling Cow,Cocktail,http://www.thecocktaildb.com/images/media/drink/yrhutv1503563730.jpg,"Bailey's irish cream,Bourbon,Vodka,Orange,,,,,,,,,,,","3/4 oz Bailey's irish cream,3/4 oz Bourbon,3/4 oz Vodka,2-3 oz Orange juice, , , , , , , , ","Pour Irish Cream, Vodka, and Bourbon in a glass. Add some ice and mix in the orange juice.",Highball glass,Alcoholic
Irish Russian,Beer,http://www.thecocktaildb.com/images/media/drink/swqurw1454512730.jpg,"Vodka,Kahlua,Coca-Cola,Guinness stout,,,,,,,,,,,","1 shot Vodka,1 shot Kahlua,1 dash Coca-Cola,Fill with Guinness stout, , , , , , , , ",Add the ingredients in the order listed in the recipe. Care must be taken when adding the Guinness to prevent an excess of foam. Do Not add ice.,Highball glass,Alcoholic
Irish Spring,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/sot8v41504884783.jpg,"Irish whiskey,Peach brandy,Orange,Sweet and sour,Orange,Cherry,,,,,,,,,","1 oz Irish whiskey,1/2 oz Peach brandy,1 oz Orange juice,1 oz Sweet and sour,1 slice Orange,1 Cherry, , , , , , ","Pour all ingredients (except orange slice and cherry) into a collins glass over ice cubes. Garnish with the slice of orange, add the cherry on top, and serve.",Collins glass,Alcoholic
Jack Rose Cocktail,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/uuqqrv1439907068.jpg,"Apple brandy,Grenadine,Lime,,,,,,,,,,,,","1 1/2 oz Apple brandy,1 tsp Grenadine,Juice of 1/2 Lime, , , , , , , , , ","Shake all ingredients with ice, strain into a cocktail glass, and serve.",Cocktail glass,Alcoholic
Jack's Vanilla Coke,Other/Unknown,http://www.thecocktaildb.com/images/media/drink/kjnt7z1504793319.jpg,"Ice,Tennessee whiskey,Vanilla extract,Coca-Cola,,,,,,,,,,,","43955 Ice,2 oz Tennessee whiskey,1 tsp Vanilla extract,10-12 oz Coca-Cola, , , , , , , , ","After pouring in your ingredients, and adding 3-5 ice cubes, according to taste. Stir the drink with a stirrer to get the Vanilla off the bottom.",Old-fashioned glass,Alcoholic
Jackhammer,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/9von5j1504388896.jpg,"Jack Daniels,Amaretto,,,,,,,,,,,,,","1 oz Jack Daniels,1 oz Amaretto, , , , , , , , , , ","Serve over ice- Warning,Deadly!",Collins Glass,Alcoholic
Jam Donut,Shot,http://www.thecocktaildb.com/images/media/drink/uuytrp1474039804.jpg,"Bailey's irish cream,Chambord raspberry liqueur,Sugar syrup,Sugar,,,,,,,,,,,","2/3 oz Bailey's irish cream,1/3 oz Chambord raspberry liqueur,1 tsp Sugar syrup,2 pinches Sugar, , , , , , , , ","Coat the rim of a shot glass with sugar using sugar syrup to stick. Add the Chambord raspberry liqueur to the shot glass, and carefully layer the Bailey's Irish Cream on top. Serve.",Shot glass,Alcoholic
Jamaica Kiss,Milk / Float / Shake,http://www.thecocktaildb.com/images/media/drink/urpvvv1441249549.jpg,"Coffee liqueur,Light rum,Ice,Milk,,,,,,,,,,,","1 shot Coffee liqueur,1 shot Jamaican Light rum, cubes
 Ice,
 Milk,
 ,
 ,
 ,
 ,
 , , , ",Fill a tumbler with ice cubes. Add a shot of Tia Maria and a shot of Jamaican light rum. Fill the tumbler with milk. Blend until smooth and serve immediately.,Hurricane glass,Alcoholic
Jamaican Coffee,Coffee / Tea,http://www.thecocktaildb.com/images/media/drink/xqptps1441247257.jpg,"Rum,Coffee,Water,Whipped cream,,,,,,,,,,,","1/6 glass Rum,1/6 glass strong black Coffee,1/2 glass cold Water,
 Whipped cream,
 ,
 ,
 ,
 ,
 , , , ","Stir the rum, coffee and water together. Top with the whipped cream. Sprinkle with a pinch of well ground coffee and drink with a straw.",Champagne flute,Alcoholic
Japanese Fizz,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/37vzv11504884831.jpg,"Blended whiskey,Lemon,Powdered sugar,Port,Egg,Carbonated water,,,,,,,,,","1 1/2 oz Blended whiskey,Juice of 1/2 Lemon,1 tsp Powdered sugar,1 tblsp Port,1 Egg white,
 Carbonated water,
 ,
 ,
 ,
 ,
 , ","Shake all ingredients (except carbonated water) with ice and strain into a highball glass over two ice cubes. Fill with carbonated water, stir, and serve.",Highball glass,Alcoholic
Jello shots,Shot,http://www.thecocktaildb.com/images/media/drink/l0smzo1504884904.jpg,"Vodka,Jello,Water,,,,,,,,,,,,","2 cups Vodka,3 packages Jello,3 cups Water, , , , , , , , , ","Boil 3 cups of water then add jello. Mix jello and water until jello is completely disolved. Add the two cups of vodka and mix together. Pour mixture into plastic shot glasses and chill until firm. Then, eat away...",Shot glass,Alcoholic
Jelly Bean,Shot,http://www.thecocktaildb.com/images/media/drink/bglc6y1504388797.jpg,"Blackberry brandy,Anis,,,,,,,,,,,,,","1 oz Blackberry brandy,1 oz Anis, , , , , , , , , , ",mix equal parts in pony glass-tastes just like a jelly bean!,Cordial glass,Alcoholic
Jewel Of The Nile,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/hx4nrb1504884947.jpg,"Gin,Green Chartreuse,Yellow Chartreuse,,,,,,,,,,,,","1 1/2 oz Gin,1/2 oz Green Chartreuse,1/2 oz Yellow Chartreuse, , , , , , , , , ","In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass.",Cocktail glass,Alcoholic
Jitterbug,Cocktail,http://www.thecocktaildb.com/images/media/drink/wwqvrq1441245318.jpg,"Gin,Vodka,Grenadine,Lime,Sugar,Sugar syrup,Soda water,,,,,,,,","2 jiggers Gin,1 jigger Vodka,3 dashes Grenadine,1 shot Lime juice,Around rim put 1 pinch Sugar,3 dashes Sugar syrup,Fill to top with Soda water, , , , , ","Wet glass, dip rim in sugar. Then add Ice. Then add everything else. It's that simple!",Cocktail Glass,Alcoholic
John Collins,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/u5yaxl1504350270.jpg,"Bourbon,Lemon,Sugar,Club soda,Maraschino cherry,Orange,,,,,,,,,","2 oz Bourbon,1 oz Lemon juice,1 tsp superfine Sugar,3 oz Club soda,1 Maraschino cherry,1 Orange, , , , , , ",Pour all ingredients directly into highball glass filled with ice. Stir gently. Garnish. Add a dash of Angostura bitters.,Collins glass,Alcoholic
Just a Moonmint,Milk / Float / Shake,http://www.thecocktaildb.com/images/media/drink/znald61487604035.jpg,"Milk,Chocolate syrup,Mint syrup,,,,,,,,,,,,","2 cups Milk,
 Chocolate syrup,
 Mint syrup,
 ,
 ,
 ,
 ,
 , , , , ","Place all ingredients in the blender jar - cover and whiz on medium speed until well blended. Pour in one tall, 2 medium or 3 small glasses and drink up.",Highball Glass,Non alcoholic
Kamikaze,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/xa58bb1504373204.jpg,"Vodka,Triple sec,Lime,,,,,,,,,,,,","1 oz Vodka,1 oz Triple sec,1 oz Lime juice, , , , , , , , , ","Shake all ingredients together with ice. Strain into glass, garnish and serve.",Cocktail glass,Alcoholic
Karsk,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/808mxk1487602471.jpg,"Coffee,Grain alcohol,,,,,,,,,,,,,","1 part Coffee,2 parts Grain alcohol, , , , , , , , , , ","Put a copper coin in a coffe-cup and fill up with coffee until you no longer see the coin, then add alcohol until you see the coin. Norwegian speciality.",Highball glass,Alcoholic
Kentucky B And B,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/sqxsxp1478820236.jpg,"Bourbon,Benedictine,,,,,,,,,,,,,","2 oz Bourbon,1/2 oz Benedictine, , , , , , , , , , ",Pour the bourbon and Benedictine into a brandy snifter.,Brandy snifter,Alcoholic
Kentucky Colonel,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/utqwpu1478820348.jpg,"Bourbon,Benedictine,Lemon,,,,,,,,,,,,","3 oz Bourbon,1/2 oz Benedictine,1 twist of Lemon peel, , , , , , , , , ",In a shaker half-filled with ice cubes combine the courbon and Benedictine. Shake and strain into a cocktail glass. Garnish with the lemon twist.,Cocktail glass,Alcoholic
Kill the cold Smoothie,Other/Unknown,http://www.thecocktaildb.com/images/media/drink/7j1z2e1487603414.jpg,"Ginger,Lemon,Water,,,,,,,,,,,,","1 inch Ginger,43922 Lemon,1 cup hot Water, , , , , , , , , ",Juice ginger and lemon and add it to hot water. You may add cardomom.,Highball glass,Non alcoholic
Kioki Coffee,Coffee / Tea,http://www.thecocktaildb.com/images/media/drink/uppqty1441247374.jpg,"Kahlua,Brandy,Coffee,,,,,,,,,,,,","1 oz Kahlua,1/2 oz Brandy,
 Coffee,
 ,
 ,
 ,
 ,
 , , , , ",Stir. Add whipped cream to the top.,Coffee mug,Alcoholic
Kir,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/apneom1504370294.jpg,"Creme de Cassis,Champagne,,,,,,,,,,,,,","1 part Creme de Cassis,5 parts Champagne, , , , , , , , , , ","Add the crème de cassis to the bottom of the glass, then top up with wine.",Wine Glass,Alcoholic
Kir Royale,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/yt9i7n1504370388.jpg,"Creme de Cassis,Champagne,,,,,,,,,,,,,","1 part Creme de Cassis,5 parts Champagne, , , , , , , , , , ","Pour Creme de cassis in glass, gently pour champagne on top",Champagne Flute,Alcoholic
Kiss me Quick,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/m7iaxu1504885119.jpg,"Cranberry vodka,Apfelkorn,Schweppes Russchian,Apple,Ice,,,,,,,,,,","4 cl Cranberry vodka,2 cl Apfelkorn,7 cl Schweppes Russchian,8 cl Apple juice, cubes
 Ice,
 ,
 ,
 ,
 ,
 , , ",mix in the glass,Highball glass,Alcoholic
Kiwi Lemon,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/tpupvr1478251697.jpg,"Kiwi liqueur,Bitter lemon,Ice,,,,,,,,,,,,","1 part Kiwi liqueur,2 parts Bitter lemon, cubes
 Ice,
 ,
 ,
 ,
 ,
 , , , , ",Mix in highball glass. Stirr. Garnish with slice of kiwi.,Highball glass,Alcoholic
Kiwi Papaya Smoothie,Other/Unknown,http://www.thecocktaildb.com/images/media/drink/jogv4w1487603571.jpg,"Kiwi,Papaya,,,,,,,,,,,,,","3 Kiwi,43862 Papaya, , , , , , , , , , ",Throw everything into a blender and liquify.,Highball Glass,Non alcoholic
Kool First Aid,Shot,http://www.thecocktaildb.com/images/media/drink/hfp6sv1503564824.jpg,"151 proof rum,Kool-Aid,,,,,,,,,,,,,","2 oz light 151 proof rum,1/2 tsp Tropical Kool-Aid, , , , , , , , , , ","Add Kool Aid to a double shot glass, and top with rum. Slam and shoot.",Shot glass,Alcoholic
Kool-Aid Shot,Shot,http://www.thecocktaildb.com/images/media/drink/fegm621503564966.jpg,"Vodka,Amaretto,Sloe gin,Triple sec,Cranberry,,,,,,,,,,","1 shot Vodka,1 shot Amaretto,1 shot Sloe gin,1 shot Triple sec,
 Cranberry juice,
 ,
 ,
 ,
 ,
 , , ",Pour into a large glass with ice and stir. Add a little cranberry juice to taste.,Old-fashioned glass,Alcoholic
Kool-Aid Slammer,Shot,http://www.thecocktaildb.com/images/media/drink/kugu2m1504735473.jpg,"Kool-Aid,Vodka,,,,,,,,,,,,,","1/2 oz Grape Kool-Aid,1/2 oz Vodka, , , , , , , , , , ","Fill half the shot glass with the kool-aid first. Then put a paper towel over the top of the glass and slowly pour in the vodka. If you do it right, you should be able to see that the two liquids are separated, with the vodka on top. Now slam it! The last thing you'll taste is the kool-aid.",Shot glass,Alcoholic
