strDrink,strCategory,strDrinkThumb,ingredients,measurments_ingredients,strInstructions,strGlass,strAlcoholic
Queen Charlotte,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/vqruyt1478963249.jpg,"Red wine,Grenadine,Lemon-lime soda,,,,,,,,,,,,","2 oz Red wine,1 oz Grenadine,
 Lemon-lime soda,
 ,
 ,
 ,
 ,
 , , , , ","Pour red wine and grenadine into a collins glass over ice cubes. Fill with lemon-lime soda, stir, and serve.",Collins glass,Alcoholic
Queen Elizabeth,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/vpqspv1478963339.jpg,"Dry Vermouth,Gin,Benedictine,,,,,,,,,,,,","1/2 oz Dry Vermouth,1 1/2 oz Gin,1 1/2 tsp Benedictine, , , , , , , , , ","Stir all ingredients with ice, strain into a cocktail glass, and serve.",Cocktail glass,Alcoholic
Quentin,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/spxtqp1478963398.jpg,"Dark rum,Kahlua,Light cream,Nutmeg,,,,,,,,,,,","1 1/2 oz Dark rum,1/2 oz Kahlua,1 oz Light cream,1/8 tsp grated Nutmeg, , , , , , , , ","In a shaker half-filled with ice cubes, combine the rum, Kahlua, and cream. Shake well. Strain into a cocktail glass and garnish with the nutmeg.",Cocktail glass,Alcoholic
Quick F**K,Shot,http://www.thecocktaildb.com/images/media/drink/wvtwpp1478963454.jpg,"Kahlua,Midori melon liqueur,Bailey's irish cream,,,,,,,,,,,,","1 part Kahlua,1 part Midori melon liqueur,1 part Bailey's irish cream, , , , , , , , , ","In a shot glass add 1/3 Kahlua first. Then 1/3 Miduri, topping it off with a 1/3 bailey's irish cream",Shot glass,Alcoholic
Quick-sand,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/vprxqv1478963533.jpg,"Black Sambuca,Orange,,,,,,,,,,,,,","25 ml Black Sambuca,Add 250 ml Orange juice, , , , , , , , , , ","Simply add the orange juice, quite a quick pour in order to mix the sambucca with the orange juice. The juice MUST have fruit pulp!",Highball glass,Alcoholic
Radioactive Long Island Iced Tea,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/rdvqmh1503563512.jpg,"Rum,Vodka,Tequila,Gin,Triple sec,Chambord raspberry liqueur,Midori melon liqueur,Malibu rum,,,,,,,","1 oz Rum,1 oz Vodka,1 oz Tequila,1 oz Gin,1 oz Triple sec,1 oz Chambord raspberry liqueur,1 oz Midori melon liqueur,1 oz Malibu rum, , , , ",Pour all ingredients over ice in a very tall glass. Sip cautiously.,Collins Glass,Alcoholic
Radler,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/xz8igv1504888995.jpg,"Beer,7-Up,,,,,,,,,,,,,","12 oz Beer,12 oz 7-Up, , , , , , , , , , ","Pour beer into large mug, slowly add the 7-up (or Sprite).",Highball glass,Alcoholic
Rail Splitter,Cocktail,http://www.thecocktaildb.com/images/media/drink/stsuqq1441207660.jpg,"Sugar syrup,Lemon,Ginger ale,,,,,,,,,,,,","2 tsp Sugar syrup,
 Lemon juice, Ginger ale, , , , , , , , , ",Mix sugar syrup with lemon juice in a tall glass. Fill up with ginger ale.,Highball glass,Non alcoholic
Raspberry Cooler,Other/Unknown,http://www.thecocktaildb.com/images/media/drink/suqyyx1441254346.jpg,"Raspberry vodka,Lemon-lime soda,Ice,,,,,,,,,,,,","2 oz Raspberry vodka,4 oz Lemon-lime soda,
 Ice,
 ,
 ,
 ,
 ,
 , , , , ",Pour the raspberry vodka and soda into a highball glass almost filled with ice cubes. Stir well.,Highball glass,Alcoholic
Red Snapper,Shot,http://www.thecocktaildb.com/images/media/drink/7p607y1504735343.jpg,"Crown Royal,Amaretto,Cranberry,,,,,,,,,,,,","1 shot Crown Royal,1 shot Amaretto,1 shot Cranberry juice, , , , , , , , , ","One shot each, shake n shoot",Old-fashioned glass,Alcoholic
Rose,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/8kxbvq1504371462.jpg,"Dry Vermouth,Gin,Apricot brandy,Lemon,Grenadine,Powdered sugar,,,,,,,,,","1/2 oz Dry Vermouth,1 oz Gin,1/2 oz Apricot brandy,1/2 tsp Lemon juice,1 tsp Grenadine, Powdered sugar, , , , , , ","Shake together in a cocktail shaker, then strain into chilled glass. Garnish and serve.",Cocktail glass,Alcoholic
Royal Bitch,Shot,http://www.thecocktaildb.com/images/media/drink/qupuyr1441210090.jpg,"Frangelico,Crown Royal,,,,,,,,,,,,,","1 part Frangelico,1 part Crown Royal, , , , , , , , , , ",Into a shot glass layer the Crown Royal on top of the Frangelico.,Shot glass,Alcoholic
Royal Fizz,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/wrh44j1504390609.jpg,"Gin,Sweet and sour,Egg,Coca-Cola,,,,,,,,,,,","1 oz Gin,2 oz Sweet and sour,1 whole Egg,
 Coca-Cola,
 ,
 ,
 ,
 ,
 , , , ",Shake all ingredients (except cola) with ice and strain into a chilled collins glass. Fill with cola and serve.,Collins glass,Alcoholic
Royal Flush,Shot,http://www.thecocktaildb.com/images/media/drink/7rnm8u1504888527.jpg,"Crown Royal,Peach schnapps,Chambord raspberry liqueur,Cranberry,,,,,,,,,,,","1 1/2 oz Crown Royal,1 oz Peach schnapps,1/2 oz Chambord raspberry liqueur,1 oz Cranberry juice, , , , , , , , ",Pour all the ingredients into tumbler over ice. Strain into glass.,Old-fashioned glass,Alcoholic
Royal Gin Fizz,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/pe1x1c1504735672.jpg,"Gin,Lemon,Powdered sugar,Egg,Carbonated water,,,,,,,,,,","2 oz Gin,Juice of 1/2 Lemon,1 tsp Powdered sugar,1 whole Egg,
 Carbonated water,
 ,
 ,
 ,
 ,
 , , ","Shake all ingredients (except carbonated water) with ice and strain into a highball glass over two ice cubes. Fill with carbonated water, stir, and serve.",Highball glass,Alcoholic
